authors,title,abstract,publication_year,url
Ломов П.А.; Олейник А.Г.,Технология применения паттернов онтологического проектирования <b>для</b> оптимизации выполнения <b>запросов</b> в системах обеспечения доступа к данным на основе онтологий,"При этом онтология используется в качестве основы <b>для</b> формирования пользовательских <b>запросов</b>, а база данных <b>для</b> получения результатов их выполнения.",2017,https://cyberleninka.ru/article/n/tehnologiya-primeneniya-patternov-ontologicheskogo-proektirovaniya-dlya-optimizatsii-vypolneniya-zaprosov-v-sistemah-obespecheniya
Шевченко Елена Леонидовна; Шевченко Александр Юрьевич; Богдан Александр Николаевич,Особенности построения прикладных программных систем на основе онтологических баз знаний,"Выделяются и анализируются этапы разработки приложения на основе онтологического хранилища знаний, проводится аналогия с процессом создания приложения, основанного на реляционной БД. Показывается принципиальная близость этих подходов и акцентируются значимые отличия.",2011,https://cyberleninka.ru/article/n/osobennosti-postroeniya-prikladnyh-programmnyh-sistem-na-osnove-ontologicheskih-baz-znaniy
Олейник Андрей Григорьевич,"Предварительные результаты исследований по проекту &quot;разработка модели, методов интеграции и системного использования междисциплинарных знаний и данных <b>для</b> поддержки управления комплексным развитием АЗРФ&quot;",Применение паттернов онтологического проектирования и технологий программирования в ограничениях позволило разработать методы оптимизации выполнения <b>запросов</b> доступа к данным на основе онтологий.,2018,https://cyberleninka.ru/article/n/predvaritelnye-rezultaty-issledovaniy-po-proektu-razrabotka-modeli-metodov-integratsii-i-sistemnogo-ispolzovaniya
Постаногов Игорь Сергеевич; Турова Ирина Алексеевна,Платформа комплексирования и тестирования средств трансформации естественно-языковых <b>запросов</b> в <b>SPARQL</b>-<b>запросы</b>,Статья посвящена <b>вопросу</b> поддержки процесса создания средства трансформации естественно-языковых (ЕЯ) <b>запросов</b> в <b>SPARQL</b>-<b>запросы</b> (далее средство трансформации).,2019,https://cyberleninka.ru/article/n/platforma-kompleksirovaniya-i-testirovaniya-sredstv-transformatsii-estestvenno-yazykovyh-zaprosov-v-sparql-zaprosy
В. А. Житко; В. Н. Вяльцев; Ю. С. Гецевич; А. А. Кузьмин,Естественно-языковые интерфейсы интеллектуальных вопросно-ответных систем,Статья описывает созданную вопросно-ответную систему с максимально комфортной <b>для</b> пользователя естественной формой коммуникации с помощью речи. Использованная технология развивается в рамках открытого проекта OSTIS [1].,2011,https://cyberleninka.ru/article/n/estestvenno-yazykovye-interfeysy-intellektualnyh-voprosno-otvetnyh-sistem
Артамонова Елена Валерьевна,Современные проблемы персонификации и экстракции данных,"Статья описывает современные проблемы поиска и извлечения из Web неструктурированных данных, в том числе проблему <b>генерации</b> «информационного портрета» на основе данных из различных источников данных, а также проблему персонификации данных.",2015,https://cyberleninka.ru/article/n/sovremennye-problemy-personifikatsii-i-ekstraktsii-dannyh
Мочалов Владимир Анатольевич; Мочалова Анастасия Викторовна,Некоторые <b>вопросы</b> функционирования и построения сенсорных вопросно-ответных систем,"Вопросно-ответные агенты <b>для</b> работы с онтологией и системами МОС осуществляют преобразование задачи&#x2F;<b>запроса</b> в <b>запрос</b> на языке взаимодействия с системой и, сформировав <b>ответ</b>, отправляют его координатору назначения задач.",2018,https://cyberleninka.ru/article/n/nekotorye-voprosy-funktsionirovaniya-i-postroeniya-sensornyh-voprosno-otvetnyh-sistem
Ломов Павел Андреевич; Шишаев Максим Геннадьевич; Диковицкий Владимир Витальевич,Упрощенное представление OWL-онтологий <b>для</b> их применения в графических пользовательских интерфейсах,"В статье предлагается технология создания <b>для</b> произвольной OWL-онтологии ее упрощенного представления, ориентированного на визуализацию в виде графовой структуры при разработке пользовательских интерфейсов программных средств. Рассматривается структура такого представления, а также порядок отображения в ней аксиом исходной OWL-онтологии.",2012,https://cyberleninka.ru/article/n/uproschennoe-predstavlenie-owl-ontologiy-dlya-ih-primeneniya-v-graficheskih-polzovatelskih-interfeysah
Навроцкий М.А.; Жукова Н.А.; Муромцев Д.И.; Мустафин Н.Г.,"Методология проектирования, разработки и сопровождения доменных семантических порталов научно-технической информации","Моделирование компетенций выполнено в терминах теории графов, а в качестве доступа к данным порталов использован язык <b>запросов</b> <b>SPARQL</b>. Основные результаты.",2018,https://cyberleninka.ru/article/n/metodologiya-proektirovaniya-razrabotki-i-soprovozhdeniya-domennyh-semanticheskih-portalov-nauchno-tehnicheskoy-informatsii
Данченко А. Л.; Быбко Е. И.,Автоматический поиск траектории обучения на семантических графах учебных материалов,Определены требования к организации знаний компьютеризированных обучающих систем. Разработана семантическая модель знаний обучающей системы. Разработаны методы автоматического поиска траектории обучения на семантических графах обучающих материалов,2010,https://cyberleninka.ru/article/n/avtomaticheskiy-poisk-traektorii-obucheniya-na-semanticheskih-grafah-uchebnyh-materialov
